Exercise Name,Short Description,Main Muscle Group [List],Equipment Required [List],Difficulty Level,Key Form Cues,Visual Reference
Barbell Back Squat,1) Stand with barbell on shoulders; 2)  squat down keeping chest up; 3)  return to standing,"[Quadriceps,  Glutes]","[Barbell, Squat Rack]",Intermediate,"• Feet shoulder-width apart • Chest up, core tight • Knees track over toes • Hip crease below knee cap • Drive through heels",ExRx.net/WeightExercises/Quadriceps/BBSquat
Conventional Deadlift,"1) Lift barbell from floor to hip level with straight back, 2) lower with control","[Hamstrings, Glutes,  Lower Back]",[Barbell],Intermediate,"• Feet hip-width apart • Grip outside legs • Chest up, shoulders back • Drive through heels • Bar stays close to body",ExRx.net/WeightExercises/ErectorSpinae/BBDeadlift
Sumo Deadlift,"1) Wide stance deadlift with hands inside legs, emphasizes glutes","[Glutes, Hamstrings, Adductors]",[Barbell],Intermediate,"• Wide stance, toes out • Hands inside legs • Upright torso • Drive knees out • Squeeze glutes at top",YouTube: AthleanX Sumo Deadlift
Romanian Deadlift (Barbell),Hip hinge movement focusing on hamstring stretch,"[Hamstrings, Glutes]",[Barbell],Intermediate,,
Barbell Bench Press,Lie on bench and press barbell from chest to arms extended,[Chest],"[Triceps,  Shoulders, Barbell,  Bench]",Intermediate,• Feet flat on floor • Retract shoulder blades • Lower to chest • Press up and slightly back • Control the weight,ExRx.net/WeightExercises/PectoralSternal/BBBenchPress
Incline Barbell Bench Press,Bench press on inclined bench targeting upper chest,"[Upper Chest, Triceps, Shoulders]","[Barbell, Incline Bench]",Intermediate,• 30-45 degree incline • Retract shoulder blades • Lower to upper chest • Press straight up • Control descent,ExRx.net/WeightExercises/PectoralClavicular/BBInclineBenchPress
Decline Barbell Bench Press,Bench press on declined bench targeting lower chest,"[Lower Chest, Triceps, Shoulders]","[Barbell, Decline Bench]",Intermediate,• Secure feet • Lower to lower chest • Press up • Focus on lower chest • Control the weight,ExRx.net/WeightExercises/PectoralSternal/BBDeclineBenchPress
Overhead Press (Standing),Press barbell overhead from shoulders while standing,"[Shoulders, Triceps, Core]",[Barbell],Intermediate,• Feet shoulder-width apart • Tight core • Press straight up • Lock out overhead • Lower with control,ExRx.net/WeightExercises/DeltoidAnterior/BBMilitaryPress
Barbell Rows,Bent-over row pulling barbell to lower chest/upper abdomen,"[Lats, Rhomboids, Middle Traps]",[Barbell],Intermediate,• Hip hinge position • Pull to lower chest • Squeeze shoulder blades • Lower with control • Keep chest up,ExRx.net/WeightExercises/LatissimusDorsi/BBBentOverRow
Close-Grip Bench Press,Bench press with narrow grip emphasizing triceps,"[Triceps, Chest]","[Barbell, Bench]",Intermediate,• Hands closer than shoulder-width • Elbows close to body • Lower to chest • Press up • Focus on triceps,ExRx.net/WeightExercises/Triceps/BBCloseGripBenchPress
Barbell Curls,Standing bicep curls with barbell,[Biceps],[Barbell],Beginner,• Stand straight • Elbows at sides • Curl up • Squeeze biceps • Lower with control,ExRx.net/WeightExercises/Biceps/BBCurl
Barbell Upright Rows,Pull barbell up along torso to chin level,"[Shoulders, Traps]",[Barbell],Intermediate,• Wide grip • Pull straight up • Elbows high • Stop at chest level • Lower slowly,ExRx.net/WeightExercises/DeltoidLateral/BBUprightRow
Barbell High Pulls,Explosive pull from floor to chest level,"[Traps, Shoulders, Power]",[Barbell],Advanced,• Similar to deadlift start • Explosive hip extension • Pull elbows high • Triple extension • Fast under bar,YouTube: Catalyst Athletics High Pull
Barbell Lunges,Step forward into lunge position holding barbell,"[Quadriceps, Glutes]",[Barbell],Intermediate,• Step forward • Lower back knee • Front knee over ankle • Push back to start • Alternate legs,ExRx.net/WeightExercises/Quadriceps/BBLunge
Barbell Step-ups,Step onto platform holding barbell,"[Quadriceps, Glutes]","[Barbell, Step or Box]",Intermediate,• Step fully onto box • Drive through heel • Stand tall • Step down controlled • Alternate legs,
Barbell Hack Squats,Squat with barbell behind legs,[Quadriceps],[Barbell],Intermediate,• Barbell behind calves • Squat down • Keep chest up • Drive through heels • Unique angle,
Barbell Good Mornings,Hip hinge with barbell on shoulders,"[Hamstrings, Lower Back]",[Barbell],Advanced,• Barbell on traps • Hip hinge • Keep back straight • Feel hamstring stretch • Return to upright,ExRx.net/WeightExercises/ErectorSpinae/BBGoodMorning
Barbell Hip Thrusts,Thrust hips up with barbell across hips,[Glutes],"[Barbell, Bench]",Intermediate,• Shoulders on bench • Barbell on hips • Drive hips up • Squeeze glutes • Lower controlled,YouTube: Bret Contreras Hip Thrust
Barbell Calf Raises,Rise onto toes holding barbell,[Calves],[Barbell],Beginner,• Barbell on shoulders • Rise onto toes • Squeeze calves • Lower slowly • Full range of motion,ExRx.net/WeightExercises/Gastrocnemius/BBStandingCalfRaise
Front Squats,Squat with barbell in front rack position,"[Quadriceps, Core]","[Barbell, Squat Rack]",Advanced,• Bar on front delts • Elbows high • Squat down • Chest up • Drive through heels,ExRx.net/WeightExercises/Quadriceps/BBFrontSquat
Zercher Squats,Squat holding barbell in elbow crooks,"[Quadriceps, Core]",[Barbell],Advanced,• Bar in elbow crooks • Squat down • Stay upright • Core engaged • Unique challenge,
Barbell Shrugs,Lift shoulders up holding barbell,[Traps],[Barbell],Beginner,• Hold barbell at sides • Lift shoulders up • Squeeze traps • Lower slowly • Don't roll shoulders,ExRx.net/WeightExercises/TrapeziusUpper/BBShrug
Barbell 21s,Bicep curls in three ranges (7+7+7),[Biceps],[Barbell],Intermediate,• 7 bottom half reps • 7 top half reps • 7 full reps • No rest between • Intense burn,
Barbell Reverse Curls,Curls with overhand grip,"[Forearms, Biceps]",[Barbell],Intermediate,• Overhand grip • Curl up • Focus on forearms • Lower slowly • Keep wrists straight,ExRx.net/WeightExercises/Brachioradialis/BBReverseCurl
Barbell Preacher Curls,Bicep curls on preacher bench,[Biceps],"[Barbell, Preacher Bench]",Intermediate,• Arms on pad • Curl up • Squeeze biceps • Lower slowly • Full stretch at bottom,ExRx.net/WeightExercises/Biceps/BBPreacherCurl
Barbell Skull Crushers,Lying tricep extension,[Triceps],"[Barbell, Bench]",Intermediate,• Lie on bench • Lower to forehead • Elbows stationary • Extend triceps • Control the weight,ExRx.net/WeightExercises/Triceps/BBLyingTriExt
Barbell Pullovers,Pullover motion with barbell while lying,"[Lats, Chest]","[Barbell, Bench]",Intermediate,• Lie on bench • Lower barbell behind head • Stretch lats • Pull back over chest • Breathe deep,
Landmine Press,Press barbell anchored at one end,"[Shoulders, Core]","[Barbell, Landmine]",Intermediate,• One end anchored • Press other end up • Core engaged • Diagonal movement • Single or double arm,
T-Bar Rows,Row with T-bar or landmine setup,"[Lats, Rhomboids]","[Barbell, T-Bar]",Intermediate,• Bent over position • Pull to chest • Squeeze back • Lower controlled • Wide grip option,ExRx.net/WeightExercises/LatissimusDorsi/LVTBarRow
Barbell Thrusters,Squat to overhead press combination,[Full Body],[Barbell],Advanced,• Front squat position • Squat down • Drive up explosively • Press overhead • One fluid motion,
Barbell Clean and Press,Clean barbell to shoulders then press overhead,"[Full Body, Power]",[Barbell],Advanced,• Deadlift to clean • Catch at shoulders • Press overhead • Technical lift • Full body power,YouTube: Catalyst Athletics Clean and Press
Barbell Snatches,Lift barbell from floor to overhead in one motion,"[Full Body, Power]",[Barbell],Advanced,• Explosive pull • Fast under bar • Catch overhead • Very technical • Olympic lift,YouTube: Catalyst Athletics Snatch Tutorial
Dumbbell Bench Press,Bench press using dumbbells,"[Chest, Triceps, Shoulders]","[Dumbbells, Bench]",Intermediate,• Dumbbells to chest • Press up and in • Squeeze chest • Lower controlled • Greater range of motion,ExRx.net/WeightExercises/PectoralSternal/DBBenchPress
