client_id,program_id,exercise_id,exercise_name,day_of_week,week_phase,sets,reps_min,reps_max,rest_seconds,load_progression,form_cues,exercise_order,superset_group,exercise_category,muscle_groups_primary,muscle_groups_secondary,equipment_required,difficulty_level,tempo,notes
1,1,1,Goblet Squat,1,1-4,3,12,15,30,Weekly 2.5lb increase,"Hold dumbbell close to chest, feet slightly wider than shoulders",1,,Compound,"Quadriceps, Glutes",Core,Dumbbell,Beginner,2-1-2-1,"Circuit training, high stress modifications"
1,1,2,Dumbbell Chest Press,1,1-4,3,12,15,30,Weekly 2.5lb increase,"Retract shoulder blades, press up and slightly together",2,,Compound,"Chest, Triceps, Shoulders",,Dumbbells + Bench,Beginner,2-1-2-1,
1,1,3,Bent-over Dumbbell Rows,1,1-4,3,12,15,30,Weekly 2.5lb increase,"Hip hinge position, pull to lower chest",3,,Compound,"Lats, Rhomboids, Middle Traps",,Dumbbells,Beginner,2-1-2-1,
1,1,4,Dumbbell Shoulder Press,1,1-4,3,12,15,30,Weekly 2.5lb increase,"Core engaged, press straight up",4,,Compound,"Shoulders, Triceps",,Dumbbells,Beginner,2-1-2-1,
1,1,5,Romanian Deadlift (DB),1,1-4,3,12,15,30,Weekly 2.5lb increase,"Push hips back, feel stretch in hamstrings",5,,Compound,"Hamstrings, Glutes",,Dumbbells,Beginner,3-1-2-1,
1,1,1,Goblet Squat,3,1-4,3,12,15,30,Weekly 2.5lb increase,"Hold dumbbell close to chest, feet slightly wider than shoulders",1,,Compound,"Quadriceps, Glutes",Core,Dumbbell,Beginner,2-1-2-1,
1,1,2,Dumbbell Chest Press,3,1-4,3,12,15,30,Weekly 2.5lb increase,"Retract shoulder blades, press up and slightly together",2,,Compound,"Chest, Triceps, Shoulders",,Dumbbells + Bench,Beginner,2-1-2-1,
1,1,3,Bent-over Dumbbell Rows,3,1-4,3,12,15,30,Weekly 2.5lb increase,"Hip hinge position, pull to lower chest",3,,Compound,"Lats, Rhomboids, Middle Traps",,Dumbbells,Beginner,2-1-2-1,
1,1,4,Dumbbell Shoulder Press,3,1-4,3,12,15,30,Weekly 2.5lb increase,"Core engaged, press straight up",4,,Compound,"Shoulders, Triceps",,Dumbbells,Beginner,2-1-2-1,
1,1,5,Romanian Deadlift (DB),3,1-4,3,12,15,30,Weekly 2.5lb increase,"Push hips back, feel stretch in hamstrings",5,,Compound,"Hamstrings, Glutes",,Dumbbells,Beginner,3-1-2-1,
1,1,1,Goblet Squat,5,1-4,3,12,15,30,Weekly 2.5lb increase,"Hold dumbbell close to chest, feet slightly wider than shoulders",1,,Compound,"Quadriceps, Glutes",Core,Dumbbell,Beginner,2-1-2-1,
1,1,2,Dumbbell Chest Press,5,1-4,3,12,15,30,Weekly 2.5lb increase,"Retract shoulder blades, press up and slightly together",2,,Compound,"Chest, Triceps, Shoulders",,Dumbbells + Bench,Beginner,2-1-2-1,
1,1,3,Bent-over Dumbbell Rows,5,1-4,3,12,15,30,Weekly 2.5lb increase,"Hip hinge position, pull to lower chest",3,,Compound,"Lats, Rhomboids, Middle Traps",,Dumbbells,Beginner,2-1-2-1,
1,1,4,Dumbbell Shoulder Press,5,1-4,3,12,15,30,Weekly 2.5lb increase,"Core engaged, press straight up",4,,Compound,"Shoulders, Triceps",,Dumbbells,Beginner,2-1-2-1,
1,1,5,Romanian Deadlift (DB),5,1-4,3,12,15,30,Weekly 2.5lb increase,"Push hips back, feel stretch in hamstrings",5,,Compound,"Hamstrings, Glutes",,Dumbbells,Beginner,3-1-2-1,
1,1,6,Dumbbell Squats,1,5-8,3,15,20,30,Weekly 2.5lb increase,"Dumbbells at sides, chest up",1,,Compound,"Quadriceps, Glutes",,Dumbbells,Beginner,2-1-2-1,Phase 2 progression
1,1,7,Incline Dumbbell Press,1,5-8,3,12,15,30,Weekly 2.5lb increase,"30-45 degree incline, press up and together",2,,Compound,"Upper Chest, Shoulders",,Dumbbells + Incline Bench,Beginner,2-1-2-1,
1,1,8,Dumbbell Rows (Single Arm),1,5-8,3,12,15,30,Weekly 2.5lb increase,"One knee and hand on bench, pull to hip",3,,Compound,"Lats, Rhomboids",,Dumbbells + Bench,Beginner,2-1-2-1,
1,1,9,Lateral Raises,1,5-8,3,12,15,30,Weekly 2.5lb increase,"Slight forward lean, lead with pinkies",4,,Isolation,"Side Delts",,Dumbbells,Beginner,2-1-2-1,
1,1,10,Dumbbell Lunges,1,5-8,3,12,12,30,Weekly 2.5lb increase,"Step forward, 90-degree angles",5,,Compound,"Quadriceps, Glutes",,Dumbbells,Beginner,2-1-2-1,
2,2,11,Barbell Bench Press,1,1-12,4,5,8,240,Linear with deloads,"Feet flat, arch in lower back, bar touches chest",1,,Compound,"Chest, Triceps, Shoulders",,Barbell + Bench,Intermediate,3-1-1-1,Former athlete protocol
2,2,12,Bent-over Barbell Row,1,1-12,4,5,8,240,Linear with deloads,"Hip hinge position, pull to sternum",2,,Compound,"Lats, Rhomboids, Middle Traps",,Barbell,Intermediate,3-1-2-1,
2,2,13,Overhead Press (Military),1,1-12,3,5,8,180,Linear with deloads,"Core braced, press straight up",3,,Compound,"Shoulders, Triceps",,Barbell,Intermediate,3-1-1-1,
2,2,14,Close-Grip Bench Press,1,1-12,3,8,12,120,Linear with deloads,"Hands 12-16 inches apart, elbows close",4,,Compound,"Triceps, Chest",,Barbell + Bench,Intermediate,3-1-2-1,
2,2,15,Barbell Curl,1,1-12,3,8,12,90,Linear with deloads,"Stand tall, elbows at sides",5,,Isolation,Biceps,,Barbell,Beginner,2-1-2-1,
2,2,16,Barbell Back Squat,2,1-12,4,5,8,300,Linear with deloads,"Feet shoulder-width, chest up, knees track over toes",1,,Compound,"Quadriceps, Glutes",,Barbell + Squat Rack,Intermediate,3-1-1-1,
2,2,17,Conventional Deadlift,2,1-12,4,5,8,300,Linear with deloads,"Feet hip-width, chest up, bar close to body",2,,Compound,"Hamstrings, Glutes, Lower Back",,Barbell,Intermediate,3-1-3-1,
2,2,18,Romanian Deadlift (Barbell),2,1-12,3,8,12,180,Linear with deloads,"Slight knee bend, push hips back",3,,Compound,"Hamstrings, Glutes",,Barbell,Intermediate,3-1-2-1,
2,2,19,Barbell Lunges,2,1-12,3,8,12,120,Linear with deloads,"Bar on shoulders, 90-degree angles",4,,Compound,"Quadriceps, Glutes",,Barbell,Intermediate,2-1-2-1,
2,2,20,Barbell Calf Raises,2,1-12,3,12,15,60,Weekly volume increase,"Rise up on toes, full range of motion",5,,Isolation,Calves,,Barbell,Beginner,2-1-2-1,
2,2,11,Barbell Bench Press,4,1-12,4,5,8,240,Linear with deloads,"Feet flat, arch in lower back, bar touches chest",1,,Compound,"Chest, Triceps, Shoulders",,Barbell + Bench,Intermediate,3-1-1-1,
2,2,21,Incline Barbell Press,4,1-12,3,6,10,180,Linear with deloads,"30-45 degree incline, bar to upper chest",2,,Compound,"Upper Chest, Shoulders",,Barbell + Incline Bench,Intermediate,3-1-2-1,
2,2,12,Bent-over Barbell Row,4,1-12,4,5,8,240,Linear with deloads,"Hip hinge position, pull to sternum",3,,Compound,"Lats, Rhomboids, Middle Traps",,Barbell,Intermediate,3-1-2-1,
2,2,22,T-Bar Row,4,1-12,3,8,12,120,Linear with deloads,"Chest up, pull to lower chest",4,,Compound,"Lats, Rhomboids",,T-Bar,Intermediate,3-1-2-1,
2,2,23,Barbell Skull Crushers,4,1-12,3,10,15,90,Linear with deloads,"Arms perpendicular, only forearms move",5,,Isolation,Triceps,,Barbell + Bench,Intermediate,3-1-3-1,
2,2,16,Barbell Back Squat,5,1-12,4,5,8,300,Linear with deloads,"Feet shoulder-width, chest up, knees track over toes",1,,Compound,"Quadriceps, Glutes",,Barbell + Squat Rack,Intermediate,3-1-1-1,
2,2,17,Conventional Deadlift,5,1-12,4,5,8,300,Linear with deloads,"Feet hip-width, chest up, bar close to body",2,,Compound,"Hamstrings, Glutes, Lower Back",,Barbell,Intermediate,3-1-3-1,
2,2,24,Front Squat,5,1-12,3,6,10,180,Linear with deloads,"High elbows, upright torso",3,,Compound,"Quadriceps, Core",,Barbell + Squat Rack,Advanced,3-1-1-1,
2,2,25,Barbell Hip Thrust,5,1-12,3,10,15,120,Linear with deloads,"Shoulders on bench, squeeze glutes at top",4,,Compound,"Glutes, Hamstrings",,Barbell + Bench,Intermediate,2-1-3-1,
2,2,26,Good Mornings,5,1-12,3,12,15,90,Light weight only,"Light weight, hinge at hips, back straight",5,,Compound,"Hamstrings, Lower Back",,Barbell + Squat Rack,Advanced,3-1-3-1,
3,3,27,Standard Push-ups,1,1-8,3,20,30,10,Time-based progression,"Hands under shoulders, straight line",1,,Compound,"Chest, Triceps, Shoulders",,None,Beginner,2-1-2-1,Student schedule flexibility
3,3,28,Goblet Squat,1,1-8,3,20,30,10,Bodyweight to light weight,"Hold close to chest if using weight",2,,Compound,"Quadriceps, Glutes",Core,Dumbbell optional,Beginner,2-1-2-1,
