id,name,description,main_muscle_group,equipment,difficulty,form_cues,visual_reference,muscle_group_encoded,equipment_encoded,difficulty_encoded,name_length,description_length,form_cues_length
386,Archer Push-ups,Push-up shifting weight to one arm at a time,"Chest, Triceps, Core",None,Advanced,• Wide hand position • Shift weight to one arm • Lower to one side • Press back up • Alternate sides,Bodybuilding.com Archer Pushups,6,28,1,15,44,100
379,Assisted Dip Machine,Use machine assistance to perform dips,"Triceps, Chest",Assisted Dip Machine,Beginner,• Kneel on assistance pad • Hands on dip handles • Lower body down • Press back up • Use minimal assistance,Bodybuilding.com Assisted Dips,37,0,2,20,38,107
378,Assisted Pull-up Machine,Use machine assistance to perform pull-ups,"Lats, Biceps",Assisted Pull-up Machine,Beginner,• Kneel on assistance pad • Grip pull-up bar • Pull chest to bar • Control the descent • Use minimal assistance,ExRx.net/WeightExercises/LatissimusDorsi/ASPullup,22,1,2,24,42,111
295,Barbell Back Squat,"Stand with barbell on shoulders, squat down keeping chest up, return to standing","Quadriceps, Glutes","Barbell, Squat Rack",Intermediate,"• Feet shoulder-width apart • Chest up, core tight • Knees track over toes • Hip crease below knee cap • Drive through heels",ExRx.net/WeightExercises/Quadriceps/BBSquat,29,7,3,18,80,124
299,Barbell Bench Press,"Lie on bench, press barbell from chest to full arm extension","Chest, Triceps, Shoulders","Barbell, Bench",Intermediate,• Feet flat on floor • Arch in lower back • Retract shoulder blades • Bar touches chest • Press up and slightly back,ExRx.net/WeightExercises/PectoralSternal/BBBenchPress,7,4,3,19,60,116
308,Barbell Curl,"Stand holding barbell, curl weight up by flexing biceps",Biceps,Barbell,Beginner,"• Stand tall, core tight • Elbows at sides • Curl to chest • Squeeze biceps at top • Control the negative",ExRx.net/WeightExercises/Biceps/BBCurl,1,3,2,12,55,105
307,Barbell Hip Thrust,"Lie with shoulders on bench, thrust barbell up with hips","Glutes, Hamstrings","Barbell, Bench",Intermediate,"• Shoulders on bench • Feet flat, knees bent • Squeeze glutes at top • Full hip extension • Control the descent",YouTube: Bret Contreras Hip Thrust,12,4,3,18,56,111
314,Barbell Lunges,"Hold barbell on shoulders, step into lunge position","Quadriceps, Glutes",Barbell,Intermediate,• Bar on shoulders • Step forward • 90-degree angles • Push back to start • Alternate legs,ExRx.net/WeightExercises/Quadriceps/BBLunge,29,3,3,14,51,90
312,Barbell Shrugs,"Hold barbell, lift shoulders up toward ears",Trapezius,Barbell,Beginner,• Stand tall • Shrug straight up • Hold at top • Don't roll shoulders • Control the descent,Bodybuilding.com Barbell Shrugs,35,3,2,14,43,91
310,Barbell Skull Crushers,"Lie down, lower barbell to forehead then extend back up",Triceps,"Barbell, Bench",Intermediate,• Arms perpendicular to body • Only forearms move • Lower to forehead • Full tricep extension • Control the weight,YouTube: AthleanX Skull Crushers,36,4,3,22,55,114
302,Bent-over Barbell Row,"Bend over, pull barbell to lower chest/upper abdomen, squeeze shoulder blades","Lats, Rhomboids, Middle Traps",Barbell,Intermediate,• Hip hinge position • Neutral spine • Pull to sternum • Squeeze shoulder blades • Control the negative,ExRx.net/WeightExercises/LatissimusDorsi/BBBentOverRow,25,3,3,21,77,103
325,Bent-over Dumbbell Rows,"Bend over, pull both dumbbells to lower chest simultaneously","Lats, Rhomboids, Middle Traps",Dumbbells,Beginner,• Hip hinge position • Neutral spine • Pull to lower chest • Squeeze shoulder blades • Control the descent,Bodybuilding.com DB Bent Row,25,14,2,23,60,106
337,Bicep Curls,"Stand with dumbbells, curl weights up by flexing biceps",Biceps,Dumbbells,Beginner,"• Stand tall, core tight • Elbows at sides • Curl to shoulder • Squeeze biceps at top • Control the negative",Bodybuilding.com DB Bicep Curls,1,14,2,11,55,108
329,Bulgarian Split Squats,"Rear foot elevated, lunge down with dumbbell in each hand","Quadriceps, Glutes","Dumbbells, Bench/Step",Intermediate,• Rear foot on bench • Front foot planted • Vertical torso • Lower straight down • Push through front heel,YouTube: Jeremy Ethier Bulgarian Split,29,16,3,22,57,106
370,Cable Bicep Curls,"Stand at cable machine, curl handle up by flexing biceps",Biceps,Cable Machine,Beginner,• Stand at cable • Elbows at sides • Curl to shoulder • Squeeze biceps • Control the negative,Bodybuilding.com Cable Bicep Curls,1,9,2,17,56,93
